Sample in Buffer,Sample in Window,TRIGGER,data_out_probe_in[7:0],cnt_out_addr_in[7:0]
0,0,0,7b,81
1,1,0,78,82
2,2,0,74,83
3,3,0,71,84
4,4,0,6e,85
5,5,0,6b,86
6,6,0,68,87
7,7,0,65,88
8,8,0,62,89
9,9,0,5f,8a
10,10,0,5c,8b
11,11,0,59,8c
12,12,0,56,8d
13,13,0,53,8e
14,14,0,50,8f
15,15,0,4d,90
16,16,0,4a,91
17,17,0,47,92
18,18,0,44,93
19,19,0,42,94
20,20,0,3f,95
21,21,0,3c,96
22,22,0,39,97
23,23,0,37,98
24,24,0,34,99
25,25,0,32,9a
26,26,0,2f,9b
27,27,0,2d,9c
28,28,0,2a,9d
29,29,0,28,9e
30,30,0,26,9f
31,31,0,24,a0
32,32,0,21,a1
33,33,0,1f,a2
34,34,0,1d,a3
35,35,0,1b,a4
36,36,0,19,a5
37,37,0,17,a6
38,38,0,16,a7
39,39,0,14,a8
40,40,0,12,a9
41,41,0,11,aa
42,42,0,0f,ab
43,43,0,0e,ac
44,44,0,0c,ad
45,45,0,0b,ae
46,46,0,0a,af
47,47,0,08,b0
48,48,0,07,b1
49,49,0,06,b2
50,50,0,05,b3
51,51,0,04,b4
52,52,0,04,b5
53,53,0,03,b6
54,54,0,02,b7
55,55,0,02,b8
56,56,0,01,b9
57,57,0,01,ba
58,58,0,00,bb
59,59,0,00,bc
60,60,0,00,bd
61,61,0,00,be
62,62,0,00,bf
63,63,0,00,c0
64,64,0,00,c1
65,65,0,00,c2
66,66,0,00,c3
67,67,0,00,c4
68,68,0,01,c5
69,69,0,01,c6
70,70,0,02,c7
71,71,0,02,c8
72,72,0,03,c9
73,73,0,04,ca
74,74,0,05,cb
75,75,0,06,cc
76,76,0,07,cd
77,77,0,08,ce
78,78,0,09,cf
79,79,0,0a,d0
80,80,0,0c,d1
81,81,0,0d,d2
82,82,0,0e,d3
83,83,0,10,d4
84,84,0,11,d5
85,85,0,13,d6
86,86,0,15,d7
87,87,0,17,d8
88,88,0,18,d9
89,89,0,1a,da
90,90,0,1c,db
91,91,0,1e,dc
92,92,0,20,dd
93,93,0,23,de
94,94,0,25,df
95,95,0,27,e0
96,96,0,29,e1
97,97,0,2c,e2
98,98,0,2e,e3
99,99,0,30,e4
100,100,0,33,e5
101,101,0,36,e6
102,102,0,38,e7
103,103,0,3b,e8
104,104,0,3d,e9
105,105,0,40,ea
106,106,0,43,eb
107,107,0,46,ec
108,108,0,49,ed
109,109,0,4b,ee
110,110,0,4e,ef
111,111,0,51,f0
112,112,0,54,f1
113,113,0,57,f2
114,114,0,5a,f3
115,115,0,5d,f4
116,116,0,60,f5
117,117,0,63,f6
118,118,0,66,f7
119,119,0,6a,f8
120,120,0,6d,f9
121,121,0,70,fa
122,122,0,73,fb
123,123,0,76,fc
124,124,0,79,fd
125,125,0,7c,fe
126,126,0,7f,ff
127,127,0,7f,00
128,128,0,83,01
129,129,0,86,02
130,130,0,89,03
131,131,0,8c,04
132,132,0,8f,05
133,133,0,92,06
134,134,0,95,07
135,135,0,99,08
136,136,0,9c,09
137,137,0,9f,0a
138,138,0,a2,0b
139,139,0,a5,0c
140,140,0,a8,0d
141,141,0,ab,0e
142,142,0,ae,0f
143,143,0,b1,10
144,144,0,b4,11
145,145,0,b6,12
146,146,0,b9,13
147,147,0,bc,14
148,148,0,bf,15
149,149,0,c2,16
150,150,0,c4,17
151,151,0,c7,18
152,152,0,c9,19
153,153,0,cc,1a
154,154,0,cf,1b
155,155,0,d1,1c
156,156,0,d3,1d
157,157,0,d6,1e
158,158,0,d8,1f
159,159,0,da,20
160,160,0,dc,21
161,161,0,df,22
162,162,0,e1,23
163,163,0,e3,24
164,164,0,e5,25
165,165,0,e7,26
166,166,0,e8,27
167,167,0,ea,28
168,168,0,ec,29
169,169,0,ee,2a
170,170,0,ef,2b
171,171,0,f1,2c
172,172,0,f2,2d
173,173,0,f3,2e
174,174,0,f5,2f
175,175,0,f6,30
176,176,0,f7,31
177,177,0,f8,32
178,178,0,f9,33
179,179,0,fa,34
180,180,0,fb,35
181,181,0,fc,36
182,182,0,fd,37
183,183,0,fd,38
184,184,0,fe,39
185,185,0,fe,3a
186,186,0,ff,3b
187,187,0,ff,3c
188,188,0,ff,3d
189,189,0,ff,3e
190,190,0,ff,3f
191,191,0,ff,40
192,192,0,ff,41
193,193,0,ff,42
194,194,0,ff,43
195,195,0,ff,44
196,196,0,fe,45
197,197,0,fe,46
198,198,0,fd,47
199,199,0,fd,48
200,200,0,fc,49
201,201,0,fb,4a
202,202,0,fb,4b
203,203,0,fa,4c
204,204,0,f9,4d
205,205,0,f8,4e
206,206,0,f7,4f
207,207,0,f5,50
208,208,0,f4,51
209,209,0,f3,52
210,210,0,f1,53
211,211,0,f0,54
212,212,0,ee,55
213,213,0,ed,56
214,214,0,eb,57
215,215,0,e9,58
216,216,0,e8,59
217,217,0,e6,5a
218,218,0,e4,5b
219,219,0,e2,5c
220,220,0,e0,5d
221,221,0,de,5e
222,222,0,db,5f
223,223,0,d9,60
224,224,0,d7,61
225,225,0,d5,62
226,226,0,d2,63
227,227,0,d0,64
228,228,0,cd,65
229,229,0,cb,66
230,230,0,c8,67
231,231,0,c6,68
232,232,0,c3,69
233,233,0,c0,6a
234,234,0,bd,6b
235,235,0,bb,6c
236,236,0,b8,6d
237,237,0,b5,6e
238,238,0,b2,6f
239,239,0,af,70
240,240,0,ac,71
241,241,0,a9,72
242,242,0,a6,73
243,243,0,a3,74
244,244,0,a0,75
245,245,0,9d,76
246,246,0,9a,77
247,247,0,97,78
248,248,0,94,79
249,249,0,91,7a
250,250,0,8e,7b
251,251,0,8b,7c
