Sample in Buffer,Sample in Window,TRIGGER,data_out_probe_in[7:0],cnt_out_addr_in[7:0]
0,0,0,7f,ff
1,1,0,8c,04
2,2,0,9c,09
3,3,0,ab,0e
4,4,0,b9,13
5,5,0,c7,18
6,6,0,d3,1d
7,7,0,df,22
8,8,0,e8,27
9,9,0,f1,2c
10,10,0,f7,31
11,11,0,fc,36
12,12,0,ff,3b
13,13,0,ff,40
14,14,0,fe,45
15,15,0,fb,4a
16,16,0,f7,4f
17,17,0,f0,54
18,18,0,e8,59
19,19,0,de,5e
20,20,0,d2,63
21,21,0,c6,68
22,22,0,b8,6d
23,23,0,a9,72
24,24,0,9a,77
25,25,0,8b,7c
26,26,0,7b,81
27,27,0,6b,86
28,28,0,5c,8b
29,29,0,4d,90
30,30,0,3f,95
31,31,0,32,9a
32,32,0,26,9f
33,33,0,1b,a4
34,34,0,12,a9
35,35,0,0b,ae
36,36,0,05,b3
37,37,0,02,b8
38,38,0,00,bd
39,39,0,00,c2
40,40,0,02,c7
41,41,0,06,cc
42,42,0,0c,d1
43,43,0,13,d6
44,44,0,1c,db
45,45,0,27,e0
46,46,0,33,e5
47,47,0,40,ea
48,48,0,4e,ef
49,49,0,5d,f4
50,50,0,6d,f9
51,51,0,7c,fe
52,52,0,89,03
53,53,0,99,08
54,54,0,a8,0d
55,55,0,b6,12
56,56,0,c4,17
57,57,0,d1,1c
58,58,0,dc,21
59,59,0,e7,26
60,60,0,ef,2b
61,61,0,f6,30
62,62,0,fb,35
63,63,0,fe,3a
64,64,0,ff,3f
65,65,0,ff,44
66,66,0,fc,49
67,67,0,f8,4e
68,68,0,f1,53
69,69,0,e9,58
70,70,0,e0,5d
71,71,0,d5,62
72,72,0,c8,67
73,73,0,bb,6c
74,74,0,ac,71
75,75,0,9d,76
76,76,0,8e,7b
77,77,0,7e,80
78,78,0,6e,85
79,79,0,5f,8a
80,80,0,50,8f
81,81,0,42,94
82,82,0,34,99
83,83,0,28,9e
84,84,0,1d,a3
85,85,0,14,a8
86,86,0,0c,ad
87,87,0,06,b2
88,88,0,02,b7
89,89,0,00,bc
90,90,0,00,c1
91,91,0,01,c6
92,92,0,05,cb
93,93,0,0a,d0
