Sample in Buffer,Sample in Window,TRIGGER,b[7:0],a,c[7:0]
0,0,0,6d,0,b8
1,1,1,6e,0,b5
2,2,0,6f,0,b2
3,3,0,70,0,af
4,4,0,71,0,ac
5,5,0,72,0,a9
6,6,0,73,0,a6
7,7,0,74,0,a3
8,8,0,75,0,a0
9,9,0,76,0,9d
10,10,0,77,0,9a
11,11,0,78,0,97
12,12,0,79,0,94
13,13,0,7a,0,91
14,14,0,7b,0,8e
15,15,0,7c,0,8b
16,16,0,7d,0,87
17,17,0,7e,0,84
18,18,0,7f,0,81
19,19,0,80,0,7e
20,20,0,81,0,7b
21,21,0,82,0,78
22,22,0,83,0,74
23,23,0,84,0,71
24,24,0,85,0,6e
25,25,0,86,0,6b
26,26,0,87,0,68
27,27,0,88,0,65
28,28,0,89,0,62
29,29,0,8a,0,5f
30,30,0,8b,0,5c
31,31,0,8c,0,59
32,32,0,8d,0,56
33,33,0,8e,0,53
34,34,0,8f,0,50
35,35,0,90,0,4d
36,36,0,91,0,4a
37,37,0,92,0,47
38,38,0,93,0,44
39,39,0,94,0,42
40,40,0,95,0,3f
41,41,0,96,0,3c
42,42,0,97,0,39
43,43,0,98,0,37
44,44,0,99,0,34
45,45,0,9a,0,32
46,46,0,9b,0,2f
47,47,0,9c,0,2d
48,48,0,9d,0,2a
49,49,0,9e,0,28
50,50,0,9f,0,26
51,51,0,a0,0,24
52,52,0,a1,0,21
53,53,0,a2,0,1f
54,54,0,a3,0,1d
55,55,0,a4,0,1b
56,56,0,a5,0,19
57,57,0,a6,0,17
58,58,0,a7,0,16
59,59,0,a8,0,14
60,60,0,a9,0,12
61,61,0,aa,0,11
62,62,0,ab,0,0f
63,63,0,ac,0,0e
64,64,0,ad,0,0c
65,65,0,ae,0,0b
66,66,0,af,0,0a
67,67,0,b0,0,08
68,68,0,b1,0,07
69,69,0,b2,0,06
70,70,0,b3,0,05
71,71,0,b4,0,04
72,72,0,b5,0,04
73,73,0,b6,0,03
74,74,0,b7,0,02
75,75,0,b8,0,02
76,76,0,b9,0,01
77,77,0,ba,0,01
78,78,0,bb,0,00
79,79,0,bc,0,00
80,80,0,bd,0,00
81,81,0,be,0,00
82,82,0,bf,0,00
83,83,0,c0,0,00
84,84,0,c1,0,00
85,85,0,c2,0,00
86,86,0,c3,0,00
87,87,0,c4,0,00
88,88,0,c5,0,01
89,89,0,c6,0,01
90,90,0,c7,0,02
91,91,0,c8,0,02
92,92,0,c9,0,03
93,93,0,ca,0,04
94,94,0,cb,0,05
95,95,0,cc,0,06
96,96,0,cd,0,07
97,97,0,ce,0,08
98,98,0,cf,0,09
99,99,0,d0,0,0a
100,100,0,d1,0,0c
101,101,0,d2,0,0d
102,102,0,d3,0,0e
103,103,0,d4,0,10
104,104,0,d5,0,11
105,105,0,d6,0,13
106,106,0,d7,0,15
107,107,0,d8,0,17
108,108,0,d9,0,18
109,109,0,da,0,1a
110,110,0,db,0,1c
111,111,0,dc,0,1e
112,112,0,dd,0,20
113,113,0,de,0,23
114,114,0,df,0,25
115,115,0,e0,0,27
116,116,0,e1,0,29
117,117,0,e2,0,2c
118,118,0,e3,0,2e
119,119,0,e4,0,30
120,120,0,e5,0,33
121,121,0,e6,0,36
122,122,0,e7,0,38
123,123,0,e8,0,3b
124,124,0,e9,0,3d
125,125,0,ea,0,40
126,126,0,eb,0,43
127,127,0,ec,0,46
128,128,0,ed,0,49
129,129,0,ee,0,4b
130,130,0,ef,0,4e
131,131,0,f0,0,51
132,132,0,f1,0,54
133,133,0,f2,0,57
134,134,0,f3,0,5a
135,135,0,f4,0,5d
136,136,0,f5,0,60
137,137,0,f6,0,63
138,138,0,f7,0,66
139,139,0,f8,0,6a
140,140,0,f9,0,6d
141,141,0,fa,0,70
142,142,0,fb,0,73
143,143,0,fc,0,76
144,144,0,fd,0,79
145,145,0,fe,0,7c
146,146,0,ff,0,7f
147,147,0,00,0,7f
148,148,0,01,0,83
149,149,0,02,0,86
150,150,0,03,0,89
151,151,0,04,0,8c
152,152,0,05,0,8f
153,153,0,06,0,92
154,154,0,07,0,95
155,155,0,08,0,99
156,156,0,09,0,9c
157,157,0,0a,0,9f
158,158,0,0b,0,a2
159,159,0,0c,0,a5
160,160,0,0d,0,a8
161,161,0,0e,0,ab
162,162,0,0f,0,ae
163,163,0,10,0,b1
164,164,0,11,0,b4
165,165,0,12,0,b6
166,166,0,13,0,b9
167,167,0,14,0,bc
168,168,0,15,0,bf
169,169,0,16,0,c2
170,170,0,17,0,c4
171,171,0,18,0,c7
172,172,0,19,0,c9
173,173,0,1a,0,cc
